Date,Name,Price,Change_24h,Change_7d,MarketCap,Volume_24h
2025-09-02 09:00:02,Ethereum,"$4,385.40",0.04%,0.27%,$529.55B,"$529,552,953,601"
2025-09-02 09:00:02,Tether,$1.00,0.01%,0.01%,$168.04B,"$168,040,767,065"
2025-09-02 09:00:02,XRP,$2.81,0.48%,2.99%,$167.36B,"$167,358,533,427"
2025-09-02 09:00:02,BNB,$852.11,0.03%,0.22%,$118.6B,"$118,600,595,633"
2025-09-02 09:00:02,Solana,$203.14,0.36%,2.35%,$109.89B,"$109,885,694,080"
2025-09-02 09:00:02,USDC,$0.9999,0.02%,0.01%,$71.64B,"$71,635,193,325"
2025-09-02 09:00:02,Dogecoin,$0.2141,0.28%,1.83%,$32.29B,"$32,291,003,265"
2025-09-02 09:00:02,TRON,$0.3391,0.00%,0.45%,$32.11B,"$32,107,821,945"
2025-09-02 09:00:02,Cardano,$0.8210,0.60%,2.07%,$29.34B,"$29,343,468,605"
2025-09-03 09:00:02,Bitcoin,"$110,759.98",0.27%,0.47%,$2.21T,"$2,206,179,647,588"
2025-09-03 09:00:02,Ethereum,"$4,322.65",0.44%,1.43%,$522.06B,"$522,063,593,178"
2025-09-03 09:00:02,XRP,$2.82,0.23%,0.56%,$168.29B,"$168,293,801,021"
2025-09-03 09:00:02,Tether,$1.00,0.02%,0.00%,$168.05B,"$168,050,884,184"
2025-09-03 09:00:02,BNB,$850.96,0.19%,0.15%,$118.44B,"$118,443,236,415"
2025-09-03 09:00:02,Solana,$209.28,0.36%,3.02%,$113.23B,"$113,231,021,706"
2025-09-03 09:00:02,USDC,$0.9999,0.01%,0.00%,$72.05B,"$72,048,557,991"
2025-09-03 09:00:02,Dogecoin,$0.2146,0.12%,0.22%,$32.36B,"$32,360,317,508"
2025-09-03 09:00:02,TRON,$0.3378,0.11%,0.40%,$31.98B,"$31,982,966,502"
2025-09-03 09:00:02,Cardano,$0.8314,0.33%,1.29%,$29.72B,"$29,717,814,514"
2025-09-17 12:29:37,Bitcoin,"$116,785.99",0.21%,0.93%,$2.33T,"$2,325,434,645,629"
2025-09-17 12:29:37,Ethereum,"$4,507.92",0.28%,0.11%,$543.85B,"$543,847,403,452"
2025-09-17 12:29:37,XRP,$3.01,0.15%,0.63%,$180.22B,"$180,223,182,472"
2025-09-17 12:29:37,Tether,$1.00,0.00%,0.01%,$171.02B,"$171,019,962,053"
